"項目ID","CSV列名","種類","入力項目ID","算定式・転記方法","算定条件・欠損・丸め","原資料位置（直接入力）","追跡方法"
"purpose_general-management_count","業務費・総係費（一般管理）：県内比較件数","算定","purpose_general-management_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_general-management_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general-management_state","業務費・総係費（一般管理）：状態","状態","business_expense | general_administration_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","business_expense: 法適用 第20表 行番号1 列034 / general_administration_expense: 法適用 第20表 行番号1 列035 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_annual","業務費：年額（千円/年）","算定","business_expense","business_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","business_expense: 法適用 第20表 行番号1 列034","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_unit","業務費：単位費用（円/m³）","算定","purpose_business_annual | annualBillableVolume","purpose_business_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_share","業務費：構成比（%）","算定","purpose_business_annual | operating_expense","purpose_business_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_median","業務費：県内中央値（円/m³）","算定","purpose_business_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_business_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_difference","業務費：県内中央値との差（円/m³）","算定","purpose_business_unit | purpose_business_median","purpose_business_unit − purpose_business_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_count","業務費：県内比較件数","算定","purpose_business_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_business_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_business_state","業務費：状態","状態","business_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","business_expense: 法適用 第20表 行番号1 列034 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_annual","総係費：年額（千円/年）","算定","general_administration_expense","general_administration_expense","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","general_administration_expense: 法適用 第20表 行番号1 列035","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_unit","総係費：単位費用（円/m³）","算定","purpose_general_annual | annualBillableVolume","purpose_general_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_share","総係費：構成比（%）","算定","purpose_general_annual | operating_expense","purpose_general_annual ÷ operating_expense × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","operating_expense: 法適用 第20表 行番号1 列026","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_median","総係費：県内中央値（円/m³）","算定","purpose_general_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の purpose_general_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_difference","総係費：県内中央値との差（円/m³）","算定","purpose_general_unit | purpose_general_median","purpose_general_unit − purpose_general_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_count","総係費：県内比較件数","算定","purpose_general_unit | prefectureCode | comparisonEligible","COUNT(比較対象の purpose_general_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"purpose_general_state","総係費：状態","状態","general_administration_expense | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","general_administration_expense: 法適用 第20表 行番号1 列035 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_annual","職員給与費：年額（千円/年）","算定","personnel_cost_total","personnel_cost_total","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","personnel_cost_total: 法適用 第21表 行番号1 列006","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_unit","職員給与費：単位費用（円/m³）","算定","nature_personnel_annual | annualBillableVolume","nature_personnel_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_share","職員給与費：構成比（%）","算定","nature_personnel_annual | total_cost","nature_personnel_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_median","職員給与費：県内中央値（円/m³）","算定","nature_personnel_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_personnel_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_difference","職員給与費：県内中央値との差（円/m³）","算定","nature_personnel_unit | nature_personnel_median","nature_personnel_unit − nature_personnel_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_count","職員給与費：県内比較件数","算定","nature_personnel_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_personnel_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_personnel_state","職員給与費：状態","状態","personnel_cost_total | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","personnel_cost_total: 法適用 第21表 行番号1 列006 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_annual","支払利息：年額（千円/年）","算定","interest_cost_total","interest_cost_total","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","interest_cost_total: 法適用 第21表 行番号1 列007","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_unit","支払利息：単位費用（円/m³）","算定","nature_interest_annual | annualBillableVolume","nature_interest_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_share","支払利息：構成比（%）","算定","nature_interest_annual | total_cost","nature_interest_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_median","支払利息：県内中央値（円/m³）","算定","nature_interest_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_interest_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_difference","支払利息：県内中央値との差（円/m³）","算定","nature_interest_unit | nature_interest_median","nature_interest_unit − nature_interest_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_count","支払利息：県内比較件数","算定","nature_interest_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_interest_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_interest_state","支払利息：状態","状態","interest_cost_total | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","interest_cost_total: 法適用 第21表 行番号1 列007 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_annual","減価償却費：年額（千円/年）","算定","depreciation_cost","depreciation_cost","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","depreciation_cost: 法適用 第21表 行番号1 列011","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_unit","減価償却費：単位費用（円/m³）","算定","nature_depreciation_annual | annualBillableVolume","nature_depreciation_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_share","減価償却費：構成比（%）","算定","nature_depreciation_annual | total_cost","nature_depreciation_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_median","減価償却費：県内中央値（円/m³）","算定","nature_depreciation_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_depreciation_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_difference","減価償却費：県内中央値との差（円/m³）","算定","nature_depreciation_unit | nature_depreciation_median","nature_depreciation_unit − nature_depreciation_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_count","減価償却費：県内比較件数","算定","nature_depreciation_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_depreciation_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_depreciation_state","減価償却費：状態","状態","depreciation_cost | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","depreciation_cost: 法適用 第21表 行番号1 列011 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_annual","動力費：年額（千円/年）","算定","power_cost","power_cost","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","power_cost: 法適用 第21表 行番号1 列012","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_unit","動力費：単位費用（円/m³）","算定","nature_power_annual | annualBillableVolume","nature_power_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_share","動力費：構成比（%）","算定","nature_power_annual | total_cost","nature_power_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_median","動力費：県内中央値（円/m³）","算定","nature_power_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_power_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_difference","動力費：県内中央値との差（円/m³）","算定","nature_power_unit | nature_power_median","nature_power_unit − nature_power_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_count","動力費：県内比較件数","算定","nature_power_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_power_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_power_state","動力費：状態","状態","power_cost | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","power_cost: 法適用 第21表 行番号1 列012 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_annual","光熱水費：年額（千円/年）","算定","water_and_utilities_cost","water_and_utilities_cost","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","water_and_utilities_cost: 法適用 第21表 行番号1 列013","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_unit","光熱水費：単位費用（円/m³）","算定","nature_utilities_annual | annualBillableVolume","nature_utilities_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_share","光熱水費：構成比（%）","算定","nature_utilities_annual | total_cost","nature_utilities_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_median","光熱水費：県内中央値（円/m³）","算定","nature_utilities_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_utilities_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_difference","光熱水費：県内中央値との差（円/m³）","算定","nature_utilities_unit | nature_utilities_median","nature_utilities_unit − nature_utilities_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_count","光熱水費：県内比較件数","算定","nature_utilities_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_utilities_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_utilities_state","光熱水費：状態","状態","water_and_utilities_cost | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","water_and_utilities_cost: 法適用 第21表 行番号1 列013 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_annual","通信運搬費：年額（千円/年）","算定","communications_transport_cost","communications_transport_cost","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","communications_transport_cost: 法適用 第21表 行番号1 列014","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_unit","通信運搬費：単位費用（円/m³）","算定","nature_communications_annual | annualBillableVolume","nature_communications_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_share","通信運搬費：構成比（%）","算定","nature_communications_annual | total_cost","nature_communications_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_median","通信運搬費：県内中央値（円/m³）","算定","nature_communications_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_communications_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_difference","通信運搬費：県内中央値との差（円/m³）","算定","nature_communications_unit | nature_communications_median","nature_communications_unit − nature_communications_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_count","通信運搬費：県内比較件数","算定","nature_communications_unit | prefectureCode | comparisonEligible","COUNT(比較対象の nature_communications_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が対象外でも県内の比較可能件数を表示。母集団0件は実数0。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_communications_state","通信運搬費：状態","状態","communications_transport_cost | annualBillableVolume | accountingType","適用範囲 → 原値欠損 → 負値 → 水量不足 → 収録の順に判定","収録／原資料欠損／水量不足／法非適用のため費用内訳対象外／負値のため算定不可。費用内訳の算定は法適用のみ","communications_transport_cost: 法適用 第21表 行番号1 列014 / annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_repair_annual","修繕費：年額（千円/年）","算定","repair_cost","repair_cost","全入力が存在するときだけ合計。欠損を0にしない。原資料の負値は保持。費用内訳の算定は法適用のみ","repair_cost: 法適用 第21表 行番号1 列015","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_repair_unit","修繕費：単位費用（円/m³）","算定","nature_repair_annual | annualBillableVolume","nature_repair_annual × 1000 ÷ annualBillableVolume","年額が0以上・水量が正の場合のみ。欠損・負の年額・0以下の水量は空欄。丸めなし。費用内訳の算定は法適用のみ","annualBillableVolume: 法適用 第10表 行番号1 列052 / annualBillableVolume: 法非適用 第10表 行番号1 列052","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_repair_share","修繕費：構成比（%）","算定","nature_repair_annual | total_cost","nature_repair_annual ÷ total_cost × 100","年額が0以上・分母が正の場合のみ。その他は空欄。丸めなし。目的別と性質別は合算不可。費用内訳の算定は法適用のみ","total_cost: 法適用 第21表 行番号1 列029","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_repair_median","修繕費：県内中央値（円/m³）","算定","nature_repair_unit | prefectureCode | comparisonEligible","MEDIAN(比較対象の nature_repair_unit)","同県・2020年度・公共下水道・法適用・年間有収水量が正・当該単位費用が有限の事業会計を各1票（自事業を含む）。自身が比較対象外・比較件数0なら空欄。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
"nature_repair_difference","修繕費：県内中央値との差（円/m³）","算定","nature_repair_unit | nature_repair_median","nature_repair_unit − nature_repair_median","自身が比較対象・単位費用と中央値が両方存在する場合のみ。その他は空欄。平均との差ではない。費用内訳の算定は法適用のみ","","派生項目の入力IDはこの表を再参照。原値IDはinput-values.csvとsources.csvで照合。原表行の位置はsource-records.csv"
